Initial weights:
  mobility: 140.00
  psqt: 10.00
  frontier: 40.00
  parity: 90.00
  corners: 800.00
  corner_closeness: 40.00
Starting TD(λ) training for 5000 episodes...
Parameters: α=0.0001, λ=0.7, ε=0.15, search=2@30ms
Episode 0/5000  elapsed 0.0s
Episode 3840/5000  elapsed 3114.5s
Episode 3850/5000  elapsed 3122.7s
Episode 3860/5000  elapsed 3130.5s
Episode 3870/5000  elapsed 3139.4s
Episode 3880/5000  elapsed 3147.9s
Episode 3890/5000  elapsed 3154.2s
Episode 3900/5000  elapsed 3160.6s
Episode 3910/5000  elapsed 3167.6s
Episode 3920/5000  elapsed 3174.5s
Episode 3930/5000  elapsed 3181.3s
Episode 3940/5000  elapsed 3188.8s
Episode 3950/5000  elapsed 3197.5s
Episode 3960/5000  elapsed 3204.5s
Episode 3970/5000  elapsed 3210.2s
Episode 3980/5000  elapsed 3217.1s
Episode 3990/5000  elapsed 3224.7s
Episode 4000/5000  elapsed 3231.1s
Episode 4010/5000  elapsed 3237.1s
Episode 4020/5000  elapsed 3244.0s
Episode 4030/5000  elapsed 3250.2s
Episode 4040/5000  elapsed 3258.4s
Episode 4050/5000  elapsed 3265.5s
Episode 4060/5000  elapsed 3271.4s
Episode 4070/5000  elapsed 3278.7s
Episode 4080/5000  elapsed 3286.9s
Episode 4090/5000  elapsed 3295.1s
Episode 4100/5000  elapsed 3303.0s
Episode 4110/5000  elapsed 3311.7s
Episode 4120/5000  elapsed 3320.9s
Episode 4130/5000  elapsed 3329.7s
Episode 4140/5000  elapsed 3337.8s
Episode 4150/5000  elapsed 3345.2s
Episode 4160/5000  elapsed 3351.9s
Episode 4170/5000  elapsed 3360.0s
Episode 4180/5000  elapsed 3367.2s
Episode 4190/5000  elapsed 3374.6s
Episode 4200/5000  elapsed 3381.6s
Episode 4210/5000  elapsed 3389.4s
Episode 4220/5000  elapsed 3398.4s
Episode 4230/5000  elapsed 3405.9s
Episode 4240/5000  elapsed 3413.9s
Episode 4250/5000  elapsed 3421.0s
Episode 4260/5000  elapsed 3430.4s
Episode 4270/5000  elapsed 3438.1s
Episode 4280/5000  elapsed 3446.6s
Episode 4290/5000  elapsed 3454.5s
Episode 4300/5000  elapsed 3461.8s
Episode 4310/5000  elapsed 3470.5s
Episode 4320/5000  elapsed 3477.5s
Episode 4330/5000  elapsed 3485.2s
Episode 4340/5000  elapsed 3493.1s
Episode 4350/5000  elapsed 3502.9s
Episode 4360/5000  elapsed 3511.1s
Episode 4370/5000  elapsed 3520.7s
Episode 4380/5000  elapsed 3529.0s
Episode 4390/5000  elapsed 3559.2s
Episode 4400/5000  elapsed 3567.6s
Episode 4410/5000  elapsed 3575.0s
Episode 4420/5000  elapsed 3582.6s
Episode 4430/5000  elapsed 3590.7s
Episode 4440/5000  elapsed 3597.8s
Episode 4450/5000  elapsed 3604.7s
Episode 4460/5000  elapsed 3612.6s
Episode 4470/5000  elapsed 3619.4s
Episode 4480/5000  elapsed 3626.0s
Episode 4490/5000  elapsed 3632.9s
Episode 4500/5000  elapsed 3640.7s
Episode 4510/5000  elapsed 3647.2s
Episode 4520/5000  elapsed 3655.2s
Episode 4530/5000  elapsed 3660.9s
Episode 4540/5000  elapsed 3669.1s
Episode 4550/5000  elapsed 3675.4s
Episode 4560/5000  elapsed 3682.5s
Episode 4570/5000  elapsed 3692.4s
Episode 4580/5000  elapsed 3701.8s
Episode 4590/5000  elapsed 3709.0s
Episode 4600/5000  elapsed 3716.2s
Episode 4610/5000  elapsed 3724.6s
Episode 4620/5000  elapsed 3732.0s
Episode 4630/5000  elapsed 3738.8s
Episode 4640/5000  elapsed 3746.8s
Episode 4650/5000  elapsed 3754.5s
Episode 4660/5000  elapsed 3761.8s
Episode 4670/5000  elapsed 3768.8s
Episode 4680/5000  elapsed 3775.7s
Episode 4690/5000  elapsed 3784.1s
Episode 4700/5000  elapsed 4510.2s
Episode 4710/5000  elapsed 4518.5s
Episode 4720/5000  elapsed 4526.6s
Episode 4730/5000  elapsed 4534.1s
Episode 4740/5000  elapsed 4542.4s
Episode 4750/5000  elapsed 4552.8s
Episode 4760/5000  elapsed 4560.6s
Episode 4770/5000  elapsed 4568.5s
Episode 4780/5000  elapsed 4577.0s
Episode 4790/5000  elapsed 4585.2s
Episode 4800/5000  elapsed 4592.9s
Episode 4810/5000  elapsed 4601.1s
Episode 4820/5000  elapsed 4609.1s
Episode 4830/5000  elapsed 4619.1s
Episode 4840/5000  elapsed 4627.2s
Episode 4850/5000  elapsed 4635.4s
Episode 4860/5000  elapsed 4642.1s
Episode 4870/5000  elapsed 4650.3s
Episode 4880/5000  elapsed 4657.6s
Episode 4890/5000  elapsed 4666.2s
Episode 4900/5000  elapsed 4674.4s
Episode 4910/5000  elapsed 4683.2s
Episode 4920/5000  elapsed 4690.1s
Episode 4930/5000  elapsed 4697.6s
Episode 4940/5000  elapsed 4704.8s
Episode 4950/5000  elapsed 4712.2s
Episode 4960/5000  elapsed 4718.0s
Episode 4970/5000  elapsed 4726.7s
Episode 4980/5000  elapsed 4734.3s
Episode 4990/5000  elapsed 4741.7s
Training completed. Weights saved to weights.json

Final weights:
  mobility: 730629.40
  psqt: -61719.08
  frontier: 407160.09
  parity: -658715.81
  corners: 737004.80
  corner_closeness: 296230.71
